work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
"Student, educator, or between roles",Designer (Individual contributor),North America,"Make, OpenAI Codex, Figma, Paper, Perplexity, Gemini, Notion, Keynote, Slack, Zoom, Framer, aura",I use AI or no-code to generate code,"Image generation, Agent workflows & automations, Design systems & tokens",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Time to learn new tools, Engineering team constraints, Budget or procurement friction","Added new tools, AI included",About the same,5.0
Startup in-house (2–100),Lead or principal,Western Europe,"Figma, Gemini, Claude, ClickUp, Trello, Google Meet, FigJam","I hand-code prototypes but not production, I use AI or no-code to generate code, Code isn't part of my workflow",Simplifying my stack,None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Security or compliance policy","Added new tools, AI included",About the same,7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"v0 (Vercel), Figma Make, Figma, ChatGPT, Airtable, Jira, Notion, Slack, Zoom, FigJam",Code isn't part of my workflow,AI-generated coding,None,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Independent or freelance,Designer (Individual contributor),North America,"OpenAI Codex, Paper, ChatGPT, Claude, Spline, Rive, Linear, Obsidian, Discord","I write production code, I use AI or no-code to generate code, I review or inspect code but don't write it","Agent workflows & automations, Design systems & tokens, Simplifying my stack",About half,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included","More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),North America,"Claude Cowork, OpenAI Codex, FLORA, Paper, Figma, ChatGPT, Claude, Linear, Todoist, Obsidian, Discord",I use AI or no-code to generate code,"Image generation, Agent workflows & automations, Simplifying my stack",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Engineering team constraints, Security or compliance policy",AI is now central — major shift,Honestly not sure,7.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,,Code isn't part of my workflow,"Manual coding, No-code tools (not AI), Video, motion, & 3D",None,"No, and I don't plan to",I don't use AI output in my work,"AI output quality isn't reliable enough, Time to learn new tools",Mostly the same,"More valuable, my skills matter more than before",5.0
Independent or freelance,Design engineer,Southern Africa,"Claude Code, Figma Make, Figma, Gemini, Vibecode","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, No-code tools (not AI), Design systems & tokens",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, AI output quality isn't reliable enough","Added new tools, AI included","Less secure, AI is changing what's expected of me",5.0
Mid-size in-house (101–999),Lead or principal,North America,"Cursor, Monday.com, Figma Make, Figma, Claude, Gemini, Jira, Google Slides, Slack, Google Meet, Maze, FigJam",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",Most of it,"No, and I don't plan to",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Designer (Individual contributor),West Africa,"Google Stitch, Figma","I write production code, I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Image generation, Design systems & tokens",Nearly all of it,"No, but I want to",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Security or compliance policy","Still in flux, changing often","Less secure, AI is changing what's expected of me",5.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Cowork, Cursor, Figma, Slack, FigJam","I use AI or no-code to generate code, I hand-code prototypes but not production",No major changes planned,About half,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,About the same,4.0
Mid-size in-house (101–999),Designer (Individual contributor),Northern Europe,"Figma Make, Figma, Gemini, Jitter, Jira, Google Slides, Slack, Maze, FigJam",Code isn't part of my workflow,"Image generation, AI-generated coding, Agent workflows & automations",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Added new tools, AI included",About the same,9.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Figma, Claude Code, Gemini",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Lead or principal,Southern Europe,"Figma, Figma Make, Claude, Claude Code, FigJam, Zoom, Slack, Google Meet, Discord, Google Slides, Asana, Notion, Spline, Gemini, Weavy","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, No-code tools (not AI), Image generation",Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"Too many tools, unclear which to commit, Security or compliance policy, Time to learn new tools","Still in flux, changing often","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Lead or principal,Western Europe,"Figma, Claude Code, ChatGPT, Framer","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"Security or compliance policy, Engineering team constraints, Time to learn new tools","Added new tools, AI included",About the same,9.0
Agency or consulting,Designer (Individual contributor),Eastern Europe,"Claude Code, Figma Make, Google Stitch, Adobe Firefly, Midjourney, Nanobanana, Figma, ChatGPT, Claude, Gemini, Jitter, Spline, Google Meet, Microsoft Teams, Hotjar, Miro","I review or inspect code but don't write it, I use AI or no-code to generate code","Design systems & tokens, AI-generated coding, Video, motion, & 3D",None,"No, but I want to",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit to, Time to learn new tools","Added new tools, AI included",About the same,5.0
Independent or freelance,Design engineer,North America,"Figma, VS Code, ProtoPie, Photoshop",I hand-code prototypes but not production,No major changes planned,None,"No, and I don't plan to",I don't use AI output in my work,Time to learn new tools,Mostly the same,"More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Lead or principal,North America,"ChatGPT, Figma Make, Figma, Zeplin, Gemini, Perplexity, Jira, Google Slides, Slack, Google Meet, FigJam","Code isn't part of my workflow, I use AI or no-code to generate code","Design systems & tokens, AI-generated coding",None,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included","More valuable, my skills matter more than before",6.0
"Enterprise in-house (1,000+)",Lead or principal,South Asia,"Make, Lovable, Figma Make, Google Stitch, Figma, Anima, Locofy, Zeplin, Claude, ChatGPT, Copilot (Microsoft), Gemini, Jira",Code isn't part of my workflow,"Design systems & tokens, Canvas design tools, Image generation",None,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, Engineering team constraints","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Lead or principal,South Asia,"Figma Make, Canva, Figma, ChatGPT, Claude, Gemini",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",4.0
Agency or consulting,Designer (Individual contributor),North America,"Make, Claude Code",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens, No major changes planned",None,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, Security or compliance policy","Added new tools, AI included",Honestly not sure,7.0
